     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
     3.80781  -103.00000   -73.32000   -73.48000   -73.32000     0.00000     0.00000     0.00000     0.00000     0.00000  -323.12000
     3.81381    -0.01125    -0.00457    -0.00249    -0.00417     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02248
     3.81981    -0.01054    -0.00409    -0.00245    -0.00350     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02058
     3.82581    -0.00959    -0.00371    -0.00235    -0.00269     0.00000     0.00000     0.00000     0.00000     0.00000    -0.01835
     3.83181    -0.00869    -0.00353    -0.00223    -0.00191     0.00000     0.00000     0.00000     0.00000     0.00000    -0.01636
     3.83781    -0.00804    -0.00357    -0.00212    -0.00131     0.00000     0.00000     0.00000     0.00000     0.00000    -0.01503
     3.84381    -0.00772    -0.00372    -0.00204    -0.00096     0.00000     0.00000     0.00000     0.00000     0.00000    -0.01444
     3.84981    -0.00767    -0.00383    -0.00201    -0.00085     0.00000     0.00000     0.00000     0.00000     0.00000    -0.01437
     3.85581    -0.00774    -0.00374    -0.00201    -0.00093     0.00000     0.00000     0.00000     0.00000     0.00000    -0.01442
     3.86181    -0.00771    -0.00338    -0.00201    -0.00109     0.00000     0.00000     0.00000     0.00000     0.00000    -0.01418
     3.86781    -0.00745    -0.00280    -0.00196    -0.00125     0.00000     0.00000     0.00000     0.00000     0.00000    -0.01345
     3.87381    -0.00692    -0.00214    -0.00185    -0.00136     0.00000     0.00000     0.00000     0.00000     0.00000    -0.01226
     3.87981    -0.00624    -0.00155    -0.00167    -0.00140     0.00000     0.00000     0.00000     0.00000     0.00000    -0.01087
     3.88581    -0.00560    -0.00117    -0.00150    -0.00142     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00969
     3.89181    -0.00519    -0.00108    -0.00137    -0.00148     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00912
     3.89781    -0.00517    -0.00132    -0.00137    -0.00168     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00955
     3.90381    -0.00563    -0.00192    -0.00156    -0.00212     0.00000     0.00000     0.00000     0.00000     0.00000    -0.01123
     3.90981    -0.00664    -0.00286    -0.00199    -0.00286     0.00000     0.00000     0.00000     0.00000     0.00000    -0.01434
     3.91581    -0.00821    -0.00405    -0.00267    -0.00388     0.00000     0.00000     0.00000     0.00000     0.00000    -0.01880
     3.92181    -0.01026    -0.00530    -0.00356    -0.00503     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02415
     3.92781    -0.01254    -0.00636    -0.00453    -0.00607     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02950
     3.93381    -0.01459    -0.00703    -0.00534    -0.00670     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03366
     3.93981    -0.01589    -0.00722    -0.00580    -0.00672     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03563
     3.94581    -0.01609    -0.00704    -0.00576    -0.00614     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03504
     3.95181    -0.01525    -0.00676    -0.00524    -0.00516     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03241
     3.95781    -0.01377    -0.00664    -0.00442    -0.00405     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02888
     3.96381    -0.01223    -0.00681    -0.00352    -0.00311     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02566
     3.96981    -0.01112    -0.00724    -0.00275    -0.00245     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02356
     3.97581    -0.01064    -0.00773    -0.00224    -0.00212     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02274
     3.98181    -0.01079    -0.00813    -0.00204    -0.00207     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02303
     3.98781    -0.01151    -0.00835    -0.00214    -0.00227     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02427
     3.99381    -0.01275    -0.00844    -0.00251    -0.00275     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02644
     3.99981    -0.01447    -0.00848    -0.00307    -0.00352     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02954
     4.00581    -0.01648    -0.00852    -0.00369    -0.00457     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03326
     4.01181    -0.01841    -0.00850    -0.00421    -0.00579     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03691
     4.01781    -0.01979    -0.00833    -0.00447    -0.00706     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03965
     4.02381    -0.02024    -0.00799    -0.00440    -0.00822     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04086
     4.02981    -0.01964    -0.00753    -0.00403    -0.00919     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04040
     4.03581    -0.01821    -0.00706    -0.00350    -0.01000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03877
     4.04181    -0.01640    -0.00669    -0.00295    -0.01075     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03680
     4.04781    -0.01470    -0.00649    -0.00253    -0.01159     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03532
     4.05381    -0.01350    -0.00645    -0.00229    -0.01256     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03481
     4.05981    -0.01293    -0.00647    -0.00223    -0.01352     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03515
     4.06581    -0.01291    -0.00640    -0.00228    -0.01415     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03574
     4.07181    -0.01318    -0.00609    -0.00238    -0.01409     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03575
     4.07781    -0.01348    -0.00550    -0.00247    -0.01318     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03464
     4.08381    -0.01364    -0.00473    -0.00253    -0.01161     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03251
     4.08981    -0.01366    -0.00397    -0.00258    -0.00989     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03010
     4.09581    -0.01365    -0.00347    -0.00266    -0.00860     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02838
     4.10181    -0.01376    -0.00338    -0.00284    -0.00814     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02812
     4.10781    -0.01415    -0.00375    -0.00315    -0.00857     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02962
     4.11381    -0.01494    -0.00450    -0.00363    -0.00961     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03267
     4.11981    -0.01624    -0.00547    -0.00426    -0.01079     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03675
     4.12581    -0.01807    -0.00650    -0.00499    -0.01167     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04123
     4.13181    -0.02028    -0.00742    -0.00577    -0.01196     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04543
     4.13781    -0.02253    -0.00812    -0.00645    -0.01164     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04874
     4.14381    -0.02436    -0.00853    -0.00693    -0.01084     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05066
     4.14981    -0.02538    -0.00869    -0.00711    -0.00981     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05099
     4.15581    -0.02542    -0.00868    -0.00699    -0.00876     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04985
     4.16181    -0.02461    -0.00862    -0.00664    -0.00784     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04770
     4.16781    -0.02328    -0.00861    -0.00617    -0.00711     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04517
     4.17381    -0.02179    -0.00871    -0.00569    -0.00664     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04282
     4.17981    -0.02045    -0.00887    -0.00526    -0.00649     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04108
     4.18581    -0.01950    -0.00907    -0.00491    -0.00681     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04029
     4.19181    -0.01913    -0.00926    -0.00465    -0.00771     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04075
     4.19781    -0.01947    -0.00948    -0.00449    -0.00924     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04268
     4.20381    -0.02057    -0.00979    -0.00446    -0.01127     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04609
     4.20981    -0.02231    -0.01026    -0.00454    -0.01354     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05065
     4.21581    -0.02445    -0.01093    -0.00474    -0.01566     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05578
     4.22181    -0.02674    -0.01179    -0.00507    -0.01732     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06092
     4.22781    -0.02904    -0.01279    -0.00558    -0.01834     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06575
     4.23381    -0.03133    -0.01390    -0.00628    -0.01875     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07026
     4.23981    -0.03352    -0.01501    -0.00713    -0.01864     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07430
     4.24581    -0.03538    -0.01600    -0.00798    -0.01807     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07743
     4.25181    -0.03652    -0.01670    -0.00862    -0.01702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07886
     4.25781    -0.03661    -0.01700    -0.00884    -0.01548     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07793
     4.26381    -0.03567    -0.01685    -0.00858    -0.01354     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07464
     4.26981    -0.03414    -0.01628    -0.00792    -0.01148     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06982
     4.27581    -0.03267    -0.01533    -0.00709    -0.00963     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06471
     4.28181    -0.03181    -0.01406    -0.00630    -0.00829     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06047
     4.28781    -0.03168    -0.01259    -0.00573    -0.00759     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05760
     4.29381    -0.03194    -0.01110    -0.00541    -0.00746     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05591
     4.29981    -0.03203    -0.00981    -0.00530    -0.00768     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05482
     4.30581    -0.03147    -0.00891    -0.00530    -0.00804     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05371
     4.31281    -0.03014    -0.00848    -0.00535    -0.00840     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05236
     4.31881    -0.02834    -0.00850    -0.00544    -0.00877     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05106
     4.32481    -0.02669    -0.00891    -0.00563    -0.00925     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05048
     4.33081    -0.02580    -0.00961    -0.00595    -0.00993     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05129
     4.33681    -0.02602    -0.01050    -0.00642    -0.01084     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05378
     4.34281    -0.02731    -0.01143    -0.00699    -0.01186     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05759
     4.34881    -0.02929    -0.01227    -0.00756    -0.01280     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06192
     4.35481    -0.03133    -0.01290    -0.00800    -0.01349     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06571
     4.36081    -0.03283    -0.01331    -0.00821    -0.01380     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06815
     4.36681    -0.03335    -0.01362    -0.00816    -0.01372     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06885
