     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
    -5.60269    37.60000     4.86500    15.60000     4.86500     0.00000     0.00000     0.00000     0.00000     0.00000    62.93000
    -5.58769     0.00545     0.03797     0.07279     0.03780     0.00000     0.00000     0.00000     0.00000     0.00000     0.15401
    -5.57269     0.00561     0.03817     0.07367     0.03792     0.00000     0.00000     0.00000     0.00000     0.00000     0.15537
    -5.55769     0.00580     0.03833     0.07463     0.03799     0.00000     0.00000     0.00000     0.00000     0.00000     0.15675
    -5.54269     0.00600     0.03842     0.07567     0.03799     0.00000     0.00000     0.00000     0.00000     0.00000     0.15808
    -5.52769     0.00622     0.03844     0.07678     0.03792     0.00000     0.00000     0.00000     0.00000     0.00000     0.15936
    -5.51269     0.00645     0.03838     0.07794     0.03779     0.00000     0.00000     0.00000     0.00000     0.00000     0.16056
    -5.49769     0.00671     0.03824     0.07914     0.03758     0.00000     0.00000     0.00000     0.00000     0.00000     0.16167
    -5.48269     0.00698     0.03802     0.08036     0.03730     0.00000     0.00000     0.00000     0.00000     0.00000     0.16266
    -5.46769     0.00728     0.03771     0.08159     0.03696     0.00000     0.00000     0.00000     0.00000     0.00000     0.16354
    -5.45269     0.00759     0.03733     0.08282     0.03657     0.00000     0.00000     0.00000     0.00000     0.00000     0.16431
    -5.43769     0.00792     0.03687     0.08403     0.03613     0.00000     0.00000     0.00000     0.00000     0.00000     0.16495
    -5.42269     0.00826     0.03636     0.08521     0.03566     0.00000     0.00000     0.00000     0.00000     0.00000     0.16549
    -5.40769     0.00862     0.03579     0.08634     0.03516     0.00000     0.00000     0.00000     0.00000     0.00000     0.16591
    -5.39269     0.00899     0.03519     0.08742     0.03465     0.00000     0.00000     0.00000     0.00000     0.00000     0.16625
    -5.37769     0.00938     0.03457     0.08844     0.03414     0.00000     0.00000     0.00000     0.00000     0.00000     0.16653
    -5.36269     0.00978     0.03393     0.08938     0.03363     0.00000     0.00000     0.00000     0.00000     0.00000     0.16672
    -5.34769     0.01018     0.03329     0.09024     0.03314     0.00000     0.00000     0.00000     0.00000     0.00000     0.16685
    -5.33269     0.01059     0.03266     0.09102     0.03268     0.00000     0.00000     0.00000     0.00000     0.00000     0.16695
    -5.31769     0.01100     0.03206     0.09170     0.03224     0.00000     0.00000     0.00000     0.00000     0.00000     0.16700
    -5.30269     0.01141     0.03148     0.09229     0.03182     0.00000     0.00000     0.00000     0.00000     0.00000     0.16700
    -5.28769     0.01181     0.03093     0.09279     0.03144     0.00000     0.00000     0.00000     0.00000     0.00000     0.16697
    -5.27269     0.01221     0.03043     0.09319     0.03109     0.00000     0.00000     0.00000     0.00000     0.00000     0.16692
    -5.25769     0.01260     0.02996     0.09349     0.03076     0.00000     0.00000     0.00000     0.00000     0.00000     0.16681
    -5.24269     0.01298     0.02953     0.09369     0.03045     0.00000     0.00000     0.00000     0.00000     0.00000     0.16665
    -5.22769     0.01335     0.02914     0.09379     0.03016     0.00000     0.00000     0.00000     0.00000     0.00000     0.16644
