Field           = 1.000000E+05 V/cm
Carrier density = 6.497000E+18 cm^-3
dE              = 0.000400 eV
1001
Energy (eV)  Prob. Density (eV^-1)  Prob. Density (cm^-3 eV^-1)
   0.000000               0.000000             0.0000000000E+00
   0.000400               0.000000             0.0000000000E+00
   0.000800               0.750000             4.8727500000E+18
   0.001200               2.250000             1.4618250000E+19
   0.001600               2.000000             1.2994000000E+19
   0.002000               1.750000             1.1369750000E+19
   0.002400               4.250000             2.7612250000E+19
   0.002800               7.250000             4.7103250000E+19
   0.003200               3.500000             2.2739500000E+19
   0.003600               6.750000             4.3854750000E+19
   0.004000               7.000000             4.5479000000E+19
   0.004400              10.500000             6.8218500000E+19
   0.004800              11.500000             7.4715500000E+19
   0.005200              11.500000             7.4715500000E+19
   0.005600              12.250000             7.9588250000E+19
   0.006000              12.000000             7.7964000000E+19
   0.006400              10.000000             6.4970000000E+19
   0.006800              11.250000             7.3091250000E+19
   0.007200              13.500000             8.7709500000E+19
   0.007600               8.500000             5.5224500000E+19
   0.008000              10.250000             6.6594250000E+19
   0.008400              10.500000             6.8218500000E+19
   0.008800              15.000000             9.7455000000E+19
   0.009200               8.750000             5.6848750000E+19
   0.009600               9.500000             6.1721500000E+19
   0.010000               9.250000             6.0097250000E+19
   0.010400              14.000000             9.0958000000E+19
   0.010800               9.250000             6.0097250000E+19
   0.011200               9.250000             6.0097250000E+19
   0.011600              12.500000             8.1212500000E+19
   0.012000              13.750000             8.9333750000E+19
   0.012400              11.750000             7.6339750000E+19
   0.012800              10.750000             6.9842750000E+19
   0.013200               9.000000             5.8473000000E+19
   0.013600              11.250000             7.3091250000E+19
   0.014000              11.000000             7.1467000000E+19
   0.014400              12.250000             7.9588250000E+19
   0.014800              12.750000             8.2836750000E+19
   0.015200               9.750000             6.3345750000E+19
   0.015600              16.000000             1.0395200000E+20
   0.016000              12.000000             7.7964000000E+19
   0.016400              15.250000             9.9079250000E+19
   0.016800              12.000000             7.7964000000E+19
   0.017200              14.000000             9.0958000000E+19
   0.017600              11.750000             7.6339750000E+19
   0.018000              10.750000             6.9842750000E+19
   0.018400              13.750000             8.9333750000E+19
   0.018800              15.500000             1.0070350000E+20
   0.019200              14.500000             9.4206500000E+19
   0.019600              13.500000             8.7709500000E+19
   0.020000              13.750000             8.9333750000E+19
   0.020400              12.750000             8.2836750000E+19
   0.020800              12.250000             7.9588250000E+19
   0.021200              13.250000             8.6085250000E+19
   0.021600              13.750000             8.9333750000E+19
   0.022000              15.000000             9.7455000000E+19
   0.022400              12.500000             8.1212500000E+19
   0.022800              13.000000             8.4461000000E+19
   0.023200              14.250000             9.2582250000E+19
   0.023600              15.000000             9.7455000000E+19
   0.024000              13.250000             8.6085250000E+19
   0.024400              11.000000             7.1467000000E+19
   0.024800              16.000000             1.0395200000E+20
   0.025200              11.500000             7.4715500000E+19
   0.025600              12.750000             8.2836750000E+19
   0.026000              13.750000             8.9333750000E+19
   0.026400              12.750000             8.2836750000E+19
   0.026800              12.000000             7.7964000000E+19
   0.027200              16.000000             1.0395200000E+20
   0.027600              17.500000             1.1369750000E+20
   0.028000              12.500000             8.1212500000E+19
   0.028400              11.250000             7.3091250000E+19
   0.028800               8.500000             5.5224500000E+19
   0.029200              11.250000             7.3091250000E+19
   0.029600              11.500000             7.4715500000E+19
   0.030000              10.250000             6.6594250000E+19
   0.030400              13.250000             8.6085250000E+19
   0.030800              11.000000             7.1467000000E+19
   0.031200              12.750000             8.2836750000E+19
   0.031600              13.250000             8.6085250000E+19
   0.032000              11.500000             7.4715500000E+19
   0.032400              12.750000             8.2836750000E+19
   0.032800              14.000000             9.0958000000E+19
