Field           = 6.000000E+03 V/cm
Carrier density = 1.389000E+20 cm^-3
dE              = 0.000320 eV

Energy (eV)  Prob. Density (eV^-1)  Prob. Density (cm^-3 eV^-1)
   0.000000               0.000000             0.0000000000E+00
   0.000320               0.312500             4.3406250000E+19
   0.000640               1.250000             1.7362500000E+20
   0.000960               1.250000             1.7362500000E+20
   0.001280               3.125000             4.3406250000E+20
   0.001600               5.000000             6.9450000000E+20
   0.001920               9.062500             1.2587812500E+21
   0.002240               8.437500             1.1719687500E+21
   0.002560               9.687500             1.3455937500E+21
   0.002880               9.375000             1.3021875000E+21
   0.003200              10.312500             1.4324062500E+21
   0.003520              15.625000             2.1703125000E+21
   0.003840              13.750000             1.9098750000E+21
   0.004160              10.937500             1.5192187500E+21
   0.004480               8.437500             1.1719687500E+21
   0.004800              15.937500             2.2137187500E+21
   0.005120              14.062500             1.9532812500E+21
   0.005440              18.750000             2.6043750000E+21
   0.005760              13.125000             1.8230625000E+21
   0.006080              18.437500             2.5609687500E+21
   0.006400              11.562500             1.6060312500E+21
   0.006720              14.375000             1.9966875000E+21
   0.007040              20.937500             2.9082187500E+21
   0.007360              12.812500             1.7796562500E+21
   0.007680              13.437500             1.8664687500E+21
   0.008000              18.437500             2.5609687500E+21
   0.008320              11.875000             1.6494375000E+21
   0.008640              17.812500             2.4741562500E+21
   0.008960              15.312500             2.1269062500E+21
   0.009280              16.562500             2.3005312500E+21
   0.009600              13.437500             1.8664687500E+21
   0.009920              19.062500             2.6477812500E+21
   0.010240              18.750000             2.6043750000E+21
   0.010560              17.812500             2.4741562500E+21
   0.010880              19.062500             2.6477812500E+21
   0.011200              13.125000             1.8230625000E+21
   0.011520              16.250000             2.2571250000E+21
   0.011840              13.125000             1.8230625000E+21
   0.012160              15.937500             2.2137187500E+21
   0.012480              14.375000             1.9966875000E+21
   0.012800              18.125000             2.5175625000E+21
   0.013120              16.875000             2.3439375000E+21
   0.013440              16.250000             2.2571250000E+21
   0.013760              14.375000             1.9966875000E+21
   0.014080              16.562500             2.3005312500E+21
   0.014400              16.875000             2.3439375000E+21
   0.014720              17.812500             2.4741562500E+21
   0.015040              18.125000             2.5175625000E+21
   0.015360              20.000000             2.7780000000E+21
   0.015680              12.500000             1.7362500000E+21
   0.016000              19.375000             2.6911875000E+21
   0.016320              21.562500             2.9950312500E+21
   0.016640              17.500000             2.4307500000E+21
   0.016960              12.500000             1.7362500000E+21
   0.017280              15.937500             2.2137187500E+21
   0.017600              18.750000             2.6043750000E+21
   0.017920              18.750000             2.6043750000E+21
   0.018240              18.750000             2.6043750000E+21
   0.018560              17.500000             2.4307500000E+21
   0.018880              17.500000             2.4307500000E+21
   0.019200              18.437500             2.5609687500E+21
   0.019520              14.687500             2.0400937500E+21
   0.019840              18.437500             2.5609687500E+21
   0.020160              18.437500             2.5609687500E+21
   0.020480              16.562500             2.3005312500E+21
   0.020800              19.375000             2.6911875000E+21
   0.021120              17.187500             2.3873437500E+21
