     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
     3.80781   -50.87000    -1.10200    -5.08900    -1.10300     0.00000     0.00000     0.00000     0.00000     0.00000   -58.16400
     3.81381    -0.00078    -0.00005    -0.00031    -0.00005     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00119
     3.81981    -0.00075    -0.00005    -0.00028    -0.00004     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00111
     3.82581    -0.00070    -0.00004    -0.00024    -0.00003     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00101
     3.83181    -0.00066    -0.00004    -0.00021    -0.00002     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00093
     3.83781    -0.00064    -0.00004    -0.00020    -0.00002     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00089
     3.84381    -0.00065    -0.00004    -0.00020    -0.00001     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00091
     3.84981    -0.00069    -0.00004    -0.00022    -0.00001     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00096
     3.85581    -0.00073    -0.00004    -0.00024    -0.00001     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00102
     3.86181    -0.00076    -0.00004    -0.00025    -0.00001     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00107
     3.86781    -0.00077    -0.00004    -0.00026    -0.00002     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00109
     3.87381    -0.00077    -0.00004    -0.00025    -0.00002     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00108
     3.87981    -0.00075    -0.00004    -0.00024    -0.00003     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00106
     3.88581    -0.00074    -0.00005    -0.00023    -0.00004     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00105
     3.89181    -0.00075    -0.00006    -0.00021    -0.00005     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00107
     3.89781    -0.00078    -0.00007    -0.00020    -0.00007     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00112
     3.90381    -0.00085    -0.00009    -0.00019    -0.00009     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00122
     3.90981    -0.00096    -0.00011    -0.00018    -0.00011     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00135
     3.91581    -0.00112    -0.00012    -0.00017    -0.00013     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00154
     3.92181    -0.00132    -0.00013    -0.00018    -0.00014     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00177
     3.92781    -0.00154    -0.00013    -0.00020    -0.00014     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00201
     3.93381    -0.00173    -0.00013    -0.00023    -0.00013     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00222
     3.93981    -0.00185    -0.00012    -0.00026    -0.00012     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00235
     3.94581    -0.00188    -0.00010    -0.00030    -0.00011     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00239
     3.95181    -0.00180    -0.00010    -0.00034    -0.00010     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00233
     3.95781    -0.00164    -0.00010    -0.00038    -0.00010     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00222
     3.96381    -0.00146    -0.00010    -0.00042    -0.00010     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00209
     3.96981    -0.00128    -0.00012    -0.00046    -0.00012     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00198
     3.97581    -0.00115    -0.00014    -0.00048    -0.00013     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00190
     3.98181    -0.00109    -0.00015    -0.00049    -0.00015     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00188
     3.98781    -0.00111    -0.00016    -0.00049    -0.00016     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00193
     3.99381    -0.00125    -0.00017    -0.00049    -0.00017     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00207
     3.99981    -0.00149    -0.00017    -0.00049    -0.00018     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00234
     4.00581    -0.00182    -0.00017    -0.00053    -0.00019     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00272
     4.01181    -0.00218    -0.00018    -0.00058    -0.00020     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00314
     4.01781    -0.00246    -0.00019    -0.00064    -0.00021     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00351
     4.02381    -0.00261    -0.00020    -0.00069    -0.00021     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00371
     4.02981    -0.00257    -0.00021    -0.00070    -0.00020     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00369
     4.03581    -0.00238    -0.00022    -0.00067    -0.00019     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00346
     4.04181    -0.00210    -0.00022    -0.00060    -0.00019     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00311
     4.04781    -0.00181    -0.00021    -0.00052    -0.00019     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00273
     4.05381    -0.00160    -0.00020    -0.00045    -0.00020     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00244
     4.05981    -0.00148    -0.00019    -0.00040    -0.00021     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00228
     4.06581    -0.00145    -0.00018    -0.00037    -0.00023     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00224
