     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
     3.80781    50.84000     1.09400     5.00500     1.09500     0.00000     0.00000     0.00000     0.00000     0.00000    58.03400
     3.81381     0.00080     0.00004     0.00035     0.00004     0.00000     0.00000     0.00000     0.00000     0.00000     0.00124
     3.81981     0.00075     0.00004     0.00030     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00112
     3.82581     0.00070     0.00004     0.00027     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00102
     3.83181     0.00067     0.00004     0.00026     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00098
     3.83781     0.00067     0.00004     0.00026     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00099
     3.84381     0.00070     0.00004     0.00028     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00103
     3.84981     0.00074     0.00004     0.00029     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00108
     3.85581     0.00076     0.00004     0.00030     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00112
     3.86181     0.00078     0.00004     0.00030     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00113
     3.86781     0.00077     0.00003     0.00029     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00111
     3.87381     0.00074     0.00004     0.00027     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00107
     3.87981     0.00072     0.00004     0.00024     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00103
     3.88581     0.00072     0.00005     0.00021     0.00004     0.00000     0.00000     0.00000     0.00000     0.00000     0.00102
     3.89181     0.00075     0.00006     0.00019     0.00006     0.00000     0.00000     0.00000     0.00000     0.00000     0.00106
     3.89781     0.00084     0.00008     0.00017     0.00008     0.00000     0.00000     0.00000     0.00000     0.00000     0.00117
     3.90381     0.00099     0.00010     0.00017     0.00010     0.00000     0.00000     0.00000     0.00000     0.00000     0.00136
     3.90981     0.00120     0.00012     0.00018     0.00013     0.00000     0.00000     0.00000     0.00000     0.00000     0.00162
     3.91581     0.00145     0.00013     0.00021     0.00014     0.00000     0.00000     0.00000     0.00000     0.00000     0.00193
     3.92181     0.00169     0.00014     0.00025     0.00014     0.00000     0.00000     0.00000     0.00000     0.00000     0.00223
     3.92781     0.00189     0.00014     0.00030     0.00014     0.00000     0.00000     0.00000     0.00000     0.00000     0.00247
     3.93381     0.00198     0.00013     0.00035     0.00013     0.00000     0.00000     0.00000     0.00000     0.00000     0.00258
     3.93981     0.00196     0.00012     0.00039     0.00011     0.00000     0.00000     0.00000     0.00000     0.00000     0.00257
     3.94581     0.00182     0.00010     0.00043     0.00010     0.00000     0.00000     0.00000     0.00000     0.00000     0.00245
     3.95181     0.00162     0.00010     0.00046     0.00009     0.00000     0.00000     0.00000     0.00000     0.00000     0.00226
     3.95781     0.00140     0.00010     0.00049     0.00009     0.00000     0.00000     0.00000     0.00000     0.00000     0.00208
     3.96381     0.00120     0.00011     0.00051     0.00011     0.00000     0.00000     0.00000     0.00000     0.00000     0.00193
     3.96981     0.00107     0.00013     0.00052     0.00012     0.00000     0.00000     0.00000     0.00000     0.00000     0.00184
     3.97581     0.00101     0.00015     0.00052     0.00014     0.00000     0.00000     0.00000     0.00000     0.00000     0.00182
     3.98181     0.00104     0.00016     0.00052     0.00016     0.00000     0.00000     0.00000     0.00000     0.00000     0.00188
     3.98781     0.00119     0.00017     0.00052     0.00017     0.00000     0.00000     0.00000     0.00000     0.00000     0.00204
     3.99381     0.00144     0.00018     0.00053     0.00019     0.00000     0.00000     0.00000     0.00000     0.00000     0.00233
     3.99981     0.00176     0.00018     0.00057     0.00020     0.00000     0.00000     0.00000     0.00000     0.00000     0.00271
     4.00581     0.00211     0.00018     0.00063     0.00021     0.00000     0.00000     0.00000     0.00000     0.00000     0.00314
     4.01181     0.00239     0.00019     0.00071     0.00022     0.00000     0.00000     0.00000     0.00000     0.00000     0.00351
     4.01781     0.00254     0.00020     0.00077     0.00022     0.00000     0.00000     0.00000     0.00000     0.00000     0.00373
     4.02381     0.00252     0.00021     0.00079     0.00022     0.00000     0.00000     0.00000     0.00000     0.00000     0.00374
     4.02981     0.00235     0.00022     0.00077     0.00021     0.00000     0.00000     0.00000     0.00000     0.00000     0.00355
     4.03581     0.00210     0.00022     0.00071     0.00020     0.00000     0.00000     0.00000     0.00000     0.00000     0.00322
     4.04181     0.00183     0.00021     0.00063     0.00019     0.00000     0.00000     0.00000     0.00000     0.00000     0.00286
     4.04781     0.00161     0.00020     0.00055     0.00020     0.00000     0.00000     0.00000     0.00000     0.00000     0.00255
     4.05381     0.00148     0.00019     0.00049     0.00021     0.00000     0.00000     0.00000     0.00000     0.00000     0.00236
