     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -18.11412     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.01012     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.90612     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.80212     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.69812     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.59412     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.49012     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.38712     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.28312     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.17912     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.07512     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.97112     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.86712     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.76312     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.65912     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.55512     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.45112     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.34712     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.24312     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.13912     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.03512    -0.58830    -0.00000    -0.00459    -0.00001     0.00000     0.00000     0.00000     0.00000     0.00000    -0.59290
   -15.93112    -0.39950    -0.00001    -0.00338    -0.00001     0.00000     0.00000     0.00000     0.00000     0.00000    -0.40291
   -15.82712    -1.17000    -0.00002    -0.01026    -0.00002     0.00000     0.00000     0.00000     0.00000     0.00000    -1.18030
   -15.72312    -0.51140    -0.00003    -0.00471    -0.00003     0.00000     0.00000     0.00000     0.00000     0.00000    -0.51616
   -15.61912    -0.59110    -0.00002    -0.00588    -0.00002     0.00000     0.00000     0.00000     0.00000     0.00000    -0.59702
   -15.51512    -0.56220    -0.00003    -0.00565    -0.00004     0.00000     0.00000     0.00000     0.00000     0.00000    -0.56792
   -15.41112    -0.19000    -0.00004    -0.00224    -0.00005     0.00000     0.00000     0.00000     0.00000     0.00000    -0.19233
   -15.30712    -0.10610    -0.00006    -0.00120    -0.00005     0.00000     0.00000     0.00000     0.00000     0.00000    -0.10741
   -15.20312    -0.08768    -0.00006    -0.00107    -0.00005     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08887
   -15.09912    -0.03793    -0.00006    -0.00057    -0.00006     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03862
   -14.99612    -0.01262    -0.00001    -0.00015    -0.00001     0.00000     0.00000     0.00000     0.00000     0.00000    -0.01279
   -14.89212     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.78812     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.68412     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.58012     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.47612     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.37212     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.26812     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.16412     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.06012     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.95612     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.85212     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.74812     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.64412     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.54012     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.43612    -0.00333    -0.04223    -0.02045    -0.01869     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08470
   -13.33212    -0.02032    -0.01330    -0.02522    -0.01615     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07499
   -13.22812    -0.02254    -0.00558    -0.00502    -0.01109     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04423
   -13.12412    -0.01467    -0.00421    -0.00276    -0.00507     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02671
   -13.02012    -0.05978    -0.00101    -0.00478    -0.00078     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06635
   -12.91612    -0.08719    -0.00076    -0.00765    -0.00146     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09705
   -12.81212    -0.11710    -0.00223    -0.01150    -0.00150     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13233
   -12.70912    -0.08007    -0.00098    -0.00942    -0.00116     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09163
   -12.60512    -0.06547    -0.00148    -0.00877    -0.00184     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07756
   -12.50112    -0.04047    -0.00043    -0.00497    -0.00062     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04649
   -12.39712    -0.05952    -0.00201    -0.00825    -0.00107     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07085
   -12.29312    -0.03675    -0.00180    -0.00581    -0.00141     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04578
   -12.18912    -0.02705    -0.00151    -0.00377    -0.00147     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03380
   -12.08512    -0.02895    -0.00131    -0.00504    -0.00140     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03670
   -11.98112    -0.02283    -0.00155    -0.00464    -0.00248     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03150
   -11.87712    -0.02851    -0.00203    -0.00440    -0.00172     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03665
   -11.77312    -0.02012    -0.00117    -0.00402    -0.00154     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02685
   -11.66912    -0.02054    -0.00052    -0.00320    -0.00078     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02505
   -11.56512    -0.01661    -0.00036    -0.00355    -0.00051     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02103
   -11.46112    -0.02726    -0.00098    -0.00360    -0.00089     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03273
   -11.35712    -0.01239    -0.00072    -0.00201    -0.00054     0.00000     0.00000     0.00000     0.00000     0.00000    -0.01565
   -11.25312    -0.00458    -0.00023    -0.00071    -0.00026     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00578
   -11.14912    -0.00092    -0.00003    -0.00008    -0.00002     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00104
   -11.04512     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.94112     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.83712     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.73312     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.62912     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.52512     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
