     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -18.12734     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.02434     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.92134     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.81834     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.71534     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.61234     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.50934     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.40634     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.30334     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.20034     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.09734     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.99434     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.89134     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.78834     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.68534     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.58234     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.47934     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.37634     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.27434     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.17134     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.06834     0.00290     0.00007     0.00006     0.00007     0.00024     0.00010     0.00030     0.00010     0.00023     0.00408
   -15.96534     0.02178     0.00050     0.00049     0.00050     0.00178     0.00077     0.00228     0.00079     0.00175     0.03063
   -15.86234     0.05824     0.00134     0.00130     0.00135     0.00475     0.00206     0.00609     0.00211     0.00467     0.08191
   -15.75934     0.12974     0.00372     0.00464     0.00366     0.01356     0.00630     0.02172     0.00618     0.01381     0.20332
   -15.65634     0.17880     0.00742     0.00791     0.00745     0.03284     0.01476     0.03997     0.01483     0.03271     0.33669
   -15.55334     0.20570     0.01159     0.01013     0.01156     0.05648     0.02544     0.05536     0.02533     0.05668     0.45827
   -15.45034     0.19343     0.01744     0.01070     0.01743     0.09821     0.04414     0.06950     0.04416     0.09821     0.59321
   -15.34734     0.20060     0.02240     0.01245     0.02242     0.13687     0.06132     0.08754     0.06139     0.13676     0.74175
   -15.24434     0.30390     0.04659     0.04140     0.04658     0.32000     0.14368     0.41660     0.14353     0.32020     1.78248
   -15.14134     0.55200     0.14777     0.13449     0.14818     1.14630     0.53100     1.53720     0.53310     1.14230     5.87234
   -15.03834     0.15852     0.07939     0.12842     0.07961     0.66520     0.32920     1.69420     0.33040     0.66360     4.12854
   -14.93534     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.83234     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.72934     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.62634     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.52334     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.42034     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.31734     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.21434     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.11134     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.00834     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.90534     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.80334     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.70034     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.59734     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.49434     0.00020     0.00003     0.00015     0.00002     0.04398     0.01555     0.28050     0.00887     0.06769     0.41699
   -13.39134     0.06987     0.00980     0.01473     0.01010    12.16100     7.25300    19.21900     7.22800    11.65700    57.62251
   -13.28834     0.12281     0.00855     0.00555     0.00855     8.86800     7.95300     3.48800     7.95600     8.84100    37.25146
   -13.18534     0.00216     0.00045     0.00046     0.00045     3.53700     3.47700     0.36860     3.47800     3.53500    14.39912
   -13.08234     0.02766     0.00219     0.00119     0.00219     0.13718     0.24960     0.10603     0.24460     0.13822     0.90885
   -12.97934     0.03383     0.00337     0.00154     0.00338     0.15636     0.22690     0.10973     0.22600     0.15639     0.91750
   -12.87634     0.03998     0.00460     0.00189     0.00460     0.17555     0.20820     0.11347     0.20990     0.17509     0.93328
   -12.77334     0.04612     0.00586     0.00225     0.00585     0.19477     0.19368     0.11725     0.19599     0.19435     0.95613
   -12.67034     0.05664     0.00731     0.00391     0.00730     0.21510     0.18263     0.16412     0.18413     0.21500     1.03613
   -12.56734     0.07254     0.00916     0.00761     0.00916     0.23520     0.16730     0.26580     0.16719     0.23530     1.16926
   -12.46434     0.08927     0.01167     0.01235     0.01170     0.25480     0.14532     0.37750     0.14392     0.25480     1.30133
   -12.36134     0.10068     0.01747     0.01457     0.01747     0.31630     0.14000     0.35370     0.13953     0.31650     1.41622
   -12.25834     0.12651     0.02575     0.01996     0.02579     0.41250     0.16503     0.42620     0.16501     0.41240     1.77915
   -12.15534     0.11676     0.02475     0.02210     0.02477     0.37270     0.15501     0.43960     0.15494     0.37270     1.68333
   -12.05234     0.10736     0.02386     0.02445     0.02387     0.33430     0.14579     0.45480     0.14573     0.33440     1.59456
   -11.94934     0.09830     0.02306     0.02698     0.02306     0.29740     0.13733     0.47220     0.13740     0.29730     1.51303
   -11.84634     0.08944     0.02235     0.02960     0.02234     0.26160     0.12956     0.48960     0.12982     0.26150     1.43581
   -11.74334     0.10291     0.03827     0.04024     0.03855     0.37340     0.17749     0.57660     0.17876     0.37040     1.89662
   -11.64034     0.07376     0.04899     0.05347     0.04886     0.33560     0.19920     0.62880     0.19859     0.33670     1.92397
   -11.53734     0.06254     0.05194     0.05205     0.05188     0.33860     0.19705     0.60080     0.19661     0.33920     1.89067
   -11.43434     0.04376     0.05221     0.04612     0.05265     0.31600     0.17850     0.53480     0.17978     0.31340     1.71722
   -11.33234     0.02242     0.04016     0.03394     0.03967     0.21880     0.12830     0.39480     0.12728     0.22010     1.22547
   -11.22934     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.12634     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.02334     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.92034     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.81734     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.71434     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.61134     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.50834     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.40534     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.30234     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.19934     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.09634     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.99334     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.89034     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.78734     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.68434     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.58134     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.47834     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.37534     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.27234     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.16934     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.06634     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.96334     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.86134     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.75834     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.65534     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.55234     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.44934     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.34634     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.24334     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.14034     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.03734     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -7.93434     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -7.83134     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -7.72834     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -7.62534     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -7.52234     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -7.41934     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -7.31634     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -7.21334     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -7.11034     0.00025     0.00000     0.00010     0.00000     0.00000     0.00000     0.00002     0.00000     0.00000     0.00039
    -7.00734     0.00208     0.00003     0.00083     0.00003     0.00001     0.00002     0.00016     0.00002     0.00001     0.00318
    -6.90434     0.00569     0.00007     0.00227     0.00007     0.00003     0.00005     0.00043     0.00005     0.00003     0.00869
    -6.80134     0.01106     0.00013     0.00441     0.00015     0.00006     0.00010     0.00084     0.00010     0.00005     0.01690
    -6.69834     0.01820     0.00022     0.00726     0.00024     0.00010     0.00016     0.00138     0.00017     0.00008     0.02781
    -6.59534     0.02898     0.00041     0.01078     0.00044     0.00019     0.00027     0.00207     0.00028     0.00016     0.04357
    -6.49234     0.57660     0.03778     0.02756     0.03911     0.01299     0.00978     0.00833     0.01012     0.01252     0.73479
    -6.39034     0.78880     0.04847     0.04185     0.04841     0.01736     0.01179     0.01289     0.01187     0.01743     0.99888
    -6.28734     0.93570     0.05457     0.05293     0.05519     0.02072     0.01267     0.01706     0.01284     0.02046     1.18214
    -6.18434     0.82400     0.04686     0.05468     0.04656     0.01727     0.01167     0.01860     0.01165     0.01744     1.04874
    -6.08134     0.66400     0.03577     0.05034     0.03557     0.01420     0.00958     0.01930     0.00952     0.01429     0.85257
    -5.97834     0.65170     0.03861     0.05081     0.03841     0.01442     0.01365     0.02123     0.01351     0.01445     0.85678
    -5.87534     0.57020     0.03876     0.04878     0.03868     0.01354     0.01602     0.02177     0.01592     0.01361     0.77728
    -5.77234     0.57480     0.04508     0.05100     0.04516     0.01475     0.02015     0.02301     0.02012     0.01480     0.80888
    -5.66934     0.45270     0.03480     0.04952     0.03477     0.01199     0.01512     0.02187     0.01510     0.01204     0.64791
    -5.56634     0.43860     0.03573     0.05186     0.03556     0.01212     0.01544     0.02250     0.01542     0.01216     0.63939
    -5.46334     0.42320     0.03658     0.05450     0.03636     0.01222     0.01565     0.02296     0.01562     0.01224     0.62933
    -5.36034     0.48140     0.03946     0.08797     0.03927     0.01355     0.01673     0.04432     0.01670     0.01352     0.75291
    -5.25734     0.27120     0.03259     0.03535     0.03269     0.00976     0.01304     0.00617     0.01309     0.00966     0.42356
    -5.15434     0.23200     0.03015     0.03493     0.03047     0.00966     0.01143     0.00606     0.01152     0.00949     0.37571
    -5.05134     0.16760     0.02470     0.02975     0.02477     0.00882     0.00865     0.00558     0.00863     0.00880     0.28731
    -4.94834     0.13330     0.02177     0.02620     0.02176     0.00817     0.00716     0.00542     0.00713     0.00820     0.23912
    -4.84534     0.10988     0.01930     0.02179     0.01925     0.00768     0.00610     0.00534     0.00608     0.00772     0.20314
