      #Energy        TDOS
     -18.12734       0.00000
     -18.02434       0.00000
     -17.92134       0.00000
     -17.81834       0.00000
     -17.71534       0.00000
     -17.61234       0.00000
     -17.50934       0.00000
     -17.40634       0.00000
     -17.30334       0.00000
     -17.20034       0.00000
     -17.09734       0.00000
     -16.99434       0.00000
     -16.89134       0.00000
     -16.78834       0.00000
     -16.68534       0.00000
     -16.58234       0.00000
     -16.47934       0.00000
     -16.37634       0.00000
     -16.27434       0.00000
     -16.17134       0.00000
     -16.06834       0.01549
     -15.96534       0.11630
     -15.86234       0.31100
     -15.75934       0.74240
     -15.65634       1.14300
     -15.55334       1.46000
     -15.45034       1.69200
     -15.34734       1.99500
     -15.24434       4.25100
     -15.14134      12.56000
     -15.03834       8.01500
     -14.93534       0.00000
     -14.83234       0.00000
     -14.72934       0.00000
     -14.62634       0.00000
     -14.52334       0.00000
     -14.42034       0.00000
     -14.31734       0.00000
     -14.21434       0.00000
     -14.11134       0.00000
     -14.00834       0.00000
     -13.90534       0.00000
     -13.80334       0.00000
     -13.70034       0.00000
     -13.59734       0.00000
     -13.49434       0.43110
     -13.39134      59.33000
     -13.28834      38.23000
     -13.18534      14.54000
     -13.08234       1.00800
     -12.97934       1.04700
     -12.87634       1.09300
     -12.77334       1.14700
     -12.67034       1.27900
     -12.56734       1.49500
     -12.46434       1.73100
     -12.36134       1.96900
     -12.25834       2.53900
     -12.15534       2.42800
     -12.05234       2.32700
     -11.94934       2.23600
     -11.84634       2.15200
     -11.74334       2.95200
     -11.64034       3.14900
     -11.53734       3.13100
     -11.43434       2.89300
     -11.33234       2.09700
     -11.22934       0.00000
     -11.12634       0.00000
     -11.02334       0.00000
     -10.92034       0.00000
     -10.81734       0.00000
     -10.71434       0.00000
     -10.61134       0.00000
     -10.50834       0.00000
     -10.40534       0.00000
     -10.30234       0.00000
     -10.19934       0.00000
     -10.09634       0.00000
      -9.99334       0.00000
      -9.89034       0.00000
      -9.78734       0.00000
      -9.68434       0.00000
      -9.58134       0.00000
      -9.47834       0.00000
      -9.37534       0.00000
      -9.27234       0.00000
      -9.16934       0.00000
      -9.06634       0.00000
      -8.96334       0.00000
      -8.86134       0.00000
      -8.75834       0.00000
      -8.65534       0.00000
      -8.55234       0.00000
      -8.44934       0.00000
      -8.34634       0.00000
      -8.24334       0.00000
      -8.14034       0.00000
      -8.03734       0.00000
      -7.93434       0.00000
      -7.83134       0.00000
      -7.72834       0.00000
      -7.62534       0.00000
      -7.52234       0.00000
      -7.41934       0.00000
      -7.31634       0.00000
      -7.21334       0.00000
      -7.11034       0.00106
      -7.00734       0.00875
      -6.90434       0.02387
      -6.80134       0.04642
      -6.69834       0.07641
      -6.59534       0.11880
      -6.49234       1.81000
      -6.39034       2.45900
      -6.28734       2.91200
      -6.18434       2.59400
      -6.08134       2.11500
      -5.97834       2.14600
      -5.87534       1.97700
      -5.77234       2.08600
      -5.66934       1.68900
      -5.56634       1.68200
      -5.46334       1.67200
      -5.36034       2.04300
      -5.25734       1.15400
      -5.15434       1.04000
      -5.05134       0.81290
      -4.94834       0.68900
      -4.84534       0.59280
      -4.74234       0.51730
      -4.63934       0.46280
      -4.53634       0.42900
      -4.43334       1.46300
      -4.33034       1.34200
      -4.22734       1.26100
      -4.12434       1.23600
      -4.02134       1.24800
      -3.91934       1.25600
      -3.81634       1.26000
      -3.71334       1.25900
      -3.61034       1.36100
      -3.50734       1.49000
      -3.40434       1.62900
      -3.30134       1.80900
      -3.19834       1.93700
      -3.09534       2.08000
      -2.99234       2.70600
      -2.88934       2.58300
      -2.78634       2.47700
      -2.68334       2.36900
      -2.58034       1.85200
      -2.47734       1.97200
      -2.37434       2.07600
      -2.27134       2.62000
      -2.16834       2.45000
      -2.06534       2.43700
      -1.96234       2.60600
      -1.85934       2.75600
      -1.75634       2.81200
      -1.65334       2.84500
      -1.55034       3.88100
      -1.44834       4.01900
      -1.34534       3.43000
      -1.24234       2.70900
      -1.13934       2.40400
      -1.03634       2.12000
      -0.93334       1.81900
      -0.83034       1.58500
      -0.72734       1.40100
      -0.62434       1.21400
      -0.52134       1.01500
      -0.41834       0.79670
      -0.31534       0.44780
      -0.21234       0.16420
      -0.10934       0.02002
      -0.00634       0.00000
       0.09666       0.00000
       0.19966       0.00000
       0.30266       0.00000
       0.40566       0.00000
       0.50866       0.00000
       0.61166       0.00000
       0.71466       0.00000
       0.81766       0.00000
       0.92066       0.00000
       1.02266       0.00000
       1.12566       0.00000
       1.22866       0.00000
       1.33166       0.00000
       1.43466       0.00000
       1.53766       0.00000
       1.64066       0.00000
       1.74366       0.00000
       1.84666       0.00000
       1.94966       0.00001
       2.05266       0.00051
       2.15566       0.00177
       2.25866       0.00381
       2.36166       0.00662
       2.46466       0.01020
       2.56766       0.01455
       2.67066       0.01968
       2.77366       0.02557
       2.87666       0.03223
       2.97966       0.03967
       3.08266       0.04787
       3.18566       0.05685
       3.28866       0.06659
       3.39166       0.07711
       3.49366       0.08840
       3.59666       0.10050
       3.69966       0.14030
       3.80266       0.20460
       3.90566       0.25450
       4.00866       0.31030
       4.11166       0.37410
       4.21466       0.44570
       4.31766       0.80480
       4.42066       1.04200
       4.52366       1.28700
       4.62666       1.37600
       4.72966       1.42800
       4.83266       1.46200
       4.93566       1.47900
       5.03866       1.47400
       5.14166       1.44900
       5.24466       1.63600
       5.34766       1.81400
       5.45066       2.73600
       5.55366       1.44400
       5.65666       1.41000
       5.75966       1.75000
       5.86266       2.31000
       5.96466       1.92200
       6.06766       1.55500
       6.17066       1.20900
       6.27366       1.04900
       6.37666       1.12700
       6.47966       1.31700
       6.58266       0.90060
       6.68566       0.81210
       6.78866       0.71780
       6.89166       0.61780
       6.99466       0.51450
       7.09766       0.62850
       7.20066       1.01700
       7.30366       1.26600
       7.40666       1.47000
       7.50966       4.81400
       7.61266       4.03200
       7.71566       2.58900
       7.81866       8.14300
       7.92166       3.68800
       8.02466       4.34000
       8.12766       2.89200
       8.23066       2.07900
       8.33366       1.67500
       8.43666       1.14400
       8.53866       0.59120
       8.64166       0.41950
       8.74466       0.31280
       8.84766       0.23790
       8.95066       0.17140
       9.05366       0.70860
       9.15666       0.80540
       9.25966       0.89720
       9.36266       0.98170
       9.46566       2.64400
       9.56866       2.62500
       9.67166       3.41700
       9.77466       3.84700
       9.87766       4.00000
       9.98066       3.79600
      10.08366       3.47400
      10.18666       2.85800
      10.28966       2.37800
      10.39266       2.49400
      10.49566       2.16900
      10.59866       1.80100
      10.70166       0.28600
      10.80466       0.00000
      10.90766       0.00000
      11.00966       0.00000
      11.11266       0.00000
      11.21566       0.00000
      11.31866       0.00000
      11.42166       0.00000
      11.52466       0.00000
      11.62766       0.00000
      11.73066       0.00000
      11.83366       0.00000
      11.93666       0.00000
      12.03966       0.00000
      12.14266       0.00000
      12.24566       0.00000
      12.34866       0.00000
      12.45166       0.00000
      12.55466       0.00000
      12.65766       0.00000
      12.76066       0.00000
