0	1	2
1.19E+07	7.70E+05	5.39E+07
1.19E+07	1.10E+07	5.39E+07
1.19E+07	2.24E+07	1.34E+07
1.20E+07	5.63E+07	5.33E+07
1.20E+07	5.63E+07	5.33E+07
1.20E+07	5.62E+07	4.70E+07
2.33E+07	5.62E+07	4.70E+07
2.33E+07	6.93E+07	5.99E+07
2.33E+07	6.93E+07	5.99E+07
2.34E+07	6.83E+07	2.31E+07
2.34E+07	6.84E+07	6.58E+07
2.34E+07	3.13E+07	6.58E+07
3.93E+07	3.70E+07	5.99E+07
3.93E+07	5.01E+07	5.99E+07
3.93E+07	7.07E+07	6.38E+07
3.93E+07	7.07E+07	6.38E+07
3.93E+07	6.95E+07	7.03E+07
3.93E+07	6.95E+07	7.03E+07
3.51E+07	3.79E+07	7.02E+07
3.51E+07	3.79E+07	7.02E+07
3.51E+07	3.58E+07	9.06E+07
3.51E+07	3.58E+07	9.06E+07
3.51E+07	9.24E+07	4.26E+07
3.51E+07	9.24E+07	4.24E+07
3.51E+07	9.24E+07	8.93E+07
3.51E+07	9.24E+07	8.93E+07
3.50E+07	6.76E+07	7.13E+07
3.50E+07	6.76E+07	7.13E+07
3.50E+07	6.75E+07	6.84E+07
3.50E+07	6.75E+07	6.84E+07
0.00E+00	1.14E+08	1.12E+08
0.00E+00	1.14E+08	6.66E+07
0.00E+00	1.13E+08	6.66E+07
0.00E+00	1.13E+08	7.30E+07
4.65E+07	4.19E+07	7.30E+07
4.65E+07	4.19E+07	7.10E+07
4.65E+07	4.01E+07	7.10E+07
4.65E+07	4.01E+07	9.45E+07
4.65E+07	4.52E+07	9.45E+07
4.65E+07	1.13E+08	7.17E+07
4.65E+07	1.13E+08	7.16E+07
4.65E+07	1.13E+08	8.99E+07
4.65E+07	1.13E+08	8.99E+07
4.65E+07	7.46E+07	1.11E+08
4.65E+07	7.46E+07	1.11E+08
4.65E+07	7.46E+07	1.12E+08
4.66E+07	7.46E+07	1.12E+08
4.66E+07	7.35E+07	7.51E+07
4.66E+07	7.35E+07	7.51E+07
4.66E+07	7.35E+07	7.48E+07
4.66E+07	7.35E+07	7.48E+07
4.66E+07	7.47E+07	9.65E+07
4.66E+07	7.45E+07	9.65E+07
4.66E+07	7.47E+07	4.49E+07
4.66E+07	7.45E+07	7.04E+07
4.66E+07	5.95E+07	7.04E+07
4.66E+07	5.95E+07	1.11E+08
4.66E+07	5.95E+07	1.11E+08
6.41E+07	5.95E+07	1.11E+08
6.41E+07	7.55E+07	1.11E+08
6.41E+07	7.52E+07	6.09E+07
6.40E+07	7.55E+07	6.02E+07
6.40E+07	7.52E+07	7.57E+07
6.40E+07	4.81E+07	7.57E+07
